levelId,text,furigana,romaji,meaning_en,examples_sentence,examples_meaning_en
4,休む,やすむ,yasumu,to rest/take a day off,今日は休みます。,I will rest today.
4,働く,はたらく,hataraku,to work,会社で働きます。,I work at a company.
4,勉強する,べんきょうする,benkyou suru,to study,毎日日本語を勉強します。,I study Japanese every day.
4,教える,おしえる,oshieru,to teach,日本語を教えています。,I teach Japanese.
4,立つ,たつ,tatsu,to stand,バスの中で立ちました。,I stood on the bus.
4,座る,すわる,suwaru,to sit,椅子に座ってください。,Please sit on the chair.
4,歩く,あるく,aruku,to walk,公園を歩きました。,I walked in the park.
4,走る,はしる,hashiru,to run,毎朝走ります。,I run every morning.
4,泳ぐ,およぐ,oyogu,to swim,海で泳ぎました。,I swam in the sea.
5,好き,すき,suki,like/love,りんごが好きです。,I like apples.
5,嫌い,きらい,kirai,dislike/hate,納豆が嫌いです。,I dislike natto.
5,楽しい,たのしい,tanoshii,fun/enjoyable,パーティーは楽しかったです。,The party was fun.
5,難しい,むずかしい,muzukashii,difficult,日本語は難しいです。,Japanese is difficult.
5,簡単,かんたん,kantan,easy/simple,この問題は簡単です。,This problem is easy.
5,美味しい,おいしい,oishii,delicious,このケーキは美味しいです。,This cake is delicious.
5,高い,たかい,takai,expensive/high,そのカバンは高いです。,That bag is expensive.
5,安い,やすい,yasui,cheap/inexpensive,このペンは安いです。,This pen is cheap.
5,大きい,おおきい,ookii,big/large,大きい犬がいます。,There is a big dog.
5,小さい,ちいさい,chiisai,small,小さい猫がいます。,There is a small cat.
5,長い,ながい,nagai,long,彼は長い髪があります。,He has long hair.
5,短い,みじかい,mijikai,short,彼女は短いスカートを着ています。,She is wearing a short skirt.
5,新しい,あたらしい,atarashii,new,新しい車を買いました。,I bought a new car.
5,古い,ふるい,furui,old,これは古い家です。,This is an old house.
5,熱い,あつい,atsui,hot,このスープは熱いです。,This soup is hot.
5,寒い,さむい,samui,cold,今日は寒いです。,It is cold today.
5,暑い,あつい,atsui,hot (weather),夏は暑いです。,Summer is hot.
5,暖かい,あたたかい,atatakai,warm,春は暖かいです。,Spring is warm.
5,涼しい,すずしい,suzushii,cool,秋は涼しいです。,Fall is cool.
5,忙しい,いそがしい,isogashii,busy,今週は忙しいです。,I am busy this week.
